alpha	beta	
2.0000	0.0000	
2.0000	0.0010
2.0000	0.0111
1.9815	0.0212	
1.9600	0.0313	
1.9383	0.0414	
1.9199	0.0515	
1.9017	0.0615	
1.8844	0.0716	
1.8693	0.0817	
1.8530	0.0918	
1.8388	0.1019	
1.8248	0.1120	
1.8109	0.1221	
1.7983	0.1322	
1.7859	0.1423	
1.7720	0.1524	
1.7600	0.1625	
1.7485	0.1725	
1.7369	0.1826	
1.7261	0.1927	
1.7157	0.2028	
1.7055	0.2129	
1.6959	0.2230	
1.6858	0.2331	
1.6763	0.2432	
1.6671	0.2533	
1.6581	0.2634	
1.6498	0.2735	
1.6407	0.2835	
1.6321	0.2936	
1.6227	0.3037	
1.6144	0.3138	
1.6069	0.3239	
1.5995	0.3340	
1.5924	0.3441	
1.5854	0.3542	
1.5785	0.3643	
1.5718	0.3744	
1.5653	0.3845	
1.5589	0.3945	
1.5527	0.4046	
1.5466	0.4147	
1.5406	0.4248	
1.5348	0.4349	
1.5291	0.4450	
1.5235	0.4551	
1.5180	0.4652	
1.5127	0.4753	
1.5074	0.4854	
1.5023	0.4955	
1.4972	0.5055	
1.4923	0.5156	
1.4875	0.5257	
1.4827	0.5358	
1.4781	0.5459	
1.4735	0.5560	
1.4690	0.5661	
1.4646	0.5762	
1.4603	0.5863	
1.4561	0.5964	
1.4519	0.6065	
1.4478	0.6165	
1.4438	0.6266	
1.4399	0.6367	
1.4360	0.6468	
1.4322	0.6569	
1.4284	0.6670	
1.4248	0.6771	
1.4212	0.6872	
1.4176	0.6973	
1.4141	0.7074	
1.4107	0.7175	
1.4073	0.7275	
1.4040	0.7376	
1.4007	0.7477	
1.3975	0.7578	
1.3944	0.7679	
1.3912	0.7780	
1.3882	0.7881	
1.3852	0.7982	
1.3822	0.8083	
1.3793	0.8184	
1.3764	0.8285	
1.3735	0.8385	
1.3707	0.8486	
1.3680	0.8587	
1.3653	0.8688	
1.3626	0.8789	
1.3600	0.8890	
1.3574	0.8991	
1.3548	0.9092	
1.3523	0.9193	
1.3498	0.9294	
1.3474	0.9395	
1.3449	0.9495	
1.3426	0.9596	
1.3402	0.9697	
1.3379	0.9798	
1.3356	0.9899	
1.3333	1.0000	
